Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
64001,fa01,"VISO1","D","Vilas County Law","Law Talk","Vilas County"
64010,fa0a,"VISCAN","D","Vilas County Scan","Interop","Vilas County"
64011,fa0b,"VICOM","D","Vilas County Common","Multi-Talk","Vilas County"
64012,fa0c,"VITRVL","D","Vilas County Travel","Multi-Talk","County Travel"
65001,fde9,"WWLAW","D","Walworth County Law","Law Talk","Walworth County"
65010,fdf2,"WWSCAN","D","Walworth County Scan","Interop","Walworth County"
65011,fdf3,"WWCOM","D","Walworth County Common","Multi-Talk","Walworth County"
65012,fdf4,"WWTRVL","D","Walworth County Travel","Multi-Talk","County Travel"
65127,fe67,"WWELFD","D","Elkhorn FD","Fire-Talk","Walworth County"
65167,fe8f,"WWWWFD","D","Whitewater FD","Fire-Talk","Walworth County"
65221,fec5,"WWFOPD","D","Fontana PD","Law Talk","Walworth County"
65247,fedf,"WWSHFD","D","Sharon FD","Fire-Talk","Walworth County"
65367,ff57,"WWLAFD","D","Lauderdale LaGrange FD","Fire-Talk","Walworth County"
